,Question,Option A,Option B,Option C,Option D,Correct Answer
1559,Which is the major source of rainwater storage in the Shekhawati region?,a. Khadin,b. Tanka,c. Nadi,d. Johad,(d)
1561,Latitudinal extension of India is,a. 8o4’ Northern latitude to 37o4’ Northern latitude,b. 8o4’ Northern latitude to 37o6’ Northern latitude,c. 8o2’ Northern latitude to 37o8’ Northern latitude,d. 8o5’ Northern latitude to 37o5’ Northern latitude,(b)
1563,Which of the following rivers does not fall in the Bay of Bengal?,a. Kaveri,b. Mahanadi,c. Narmada,d. Godawari,(c)
1565,What is “Kall Vaishaki”?,a. Cyclones in the Arabian sea,b. Rainfall due to mediterranean cyclone in winter season,c. Rainfall on the Malabar coast in summer season,d. Dust storm in west Bengal region during summer season,(d)
1568,When was the unification of Rajasthan completed?,"a. 30th March, 1949","b. 15th May, 1948","c. 26th January, 1950","d. 1st November, 1956",(d)
1570,"From which district of Rajasthan, the modern three-tier of Panchayati Raj system was launched on October 2nd, 1959?",a. Ajmer,b. Nagaur,c. Jaipur,d. Bikaner,(b)
1572,"When was the constitution of India adopted, enacted and spirited?","a. 26th November, 1949","b. 26th October, 1948","c. 26th January, 1950","d. 26th January, 1949",(a)
1574,In which schedule of Indian constitution the functions of municipal councils were listed by the 74th constitutional amendment?,a. In 8th Schedule,b. In 12th Schedule,c. In 10th Schedule,d. In 9th Schedule,(b)
1576,"Where did the 18th summit of ‘SAARC’ take place in November, 2014?",a. Nepal,b. New Delhi,c. Bhutan,d. Maldiv,(a)
1578,What can be the maximum number of members of Rajya Sabha as per constitutional provision?,a. 245,b. 233,c. 250,d. 230,(c)
1580,According to which article of Indian constitution ‘Money Bills’ can be proposed in Lok Sabha only?,a. 109,b. 107,c. 105,d. 103,(a)
1582,Who has the right to cast a vote if there are equal votes in favour and in against a question in the state Legislative Assembly?,a. The Governor,b. The Chief Minister,c. The Speaker of State Legislative Assembly,d. The Deputy Speaker of State Legislative Assembly,(c)
1584,How many members can be maximum in the state cabinet according to the 91st constitutional amendment?,a. 10% of total number of members of legislative assembly,b. 25% of total number of members of legislative assembly,c. 20% of total number of members of legislative assembly,d. 15% of total number of members of legislative assembly,(d)
1586,Till what age can the Judges of the high court hold his post?,a. 62 years,c. 60 years,c. 65 years,d. 68 years,(a)
1588,The nation having a mixed economy is,a. China,b. India,c. Japan,d. France,(b)
1590,The Green revolution started in,a. 1966-67,b. 1970-71,c. 1988-89,d. 2001-02,(a)
1592,The Central bank of India is,a. State Bank,b. Indian Industrial Development Bank,c. Export – Import Bank,d. Reserve Bank of India,(d)
1594,The money is deposited for a fixed period of time in this account,a. Fixed deposit account,b. Saving bank account,c. Current account,d. Recurring deposit account,(a)
1596,"When the benefits of development reach the people of all the sections of the society, it is called",a. Economic Development,b. Continuous Development,c. Assimilated Development,d. Human Development,(c)
1598,"The process which increases the role of private sector in economy, is called",a. Liberalization,b. Privatization,c. Globalization,d. Swadeshi,(b)
1600,The concept of Relative poverty is comparatively more relevant in these countries –,a. Undeveloped countries,b. Under-developed countries,c. Developing countries,d. Developed countries,(d)
1604,"4, 8, 16, 32, 64, 128, __?",a. 256,b. 228,c. 512,d. 192,(a)
1607,"3, 6, 11, 18, 27, __?",a. 48,b. 38,c. 36,d. 56,(b)
1609,"2, 4, 12, 48, 240, __?",a. 1440,b. 1200,c. 480,d. 960,(a)
1611,"15, 18, 111, 114, 117, __?",a. 125,b. 123,c. 121,d. 120,(d)
1613,"33, 44, 35, ?, 37, 46, 39, 47",a. 36,b. 47,c. 45,d. 48,(c)
1616,"4, 6, 10, 16, 24, __?",a. 30,b. 40,c. 36,d. 34,(d)
1619,"A, CD, GHI, __?, UVWXY",a. NOPQ,b. MNO,c. MNOP,d. NOPQ,(c)
1622,Clock : Time :: Thermometer : __?,a. Heat,b. Radiation,c. Energy,d. Temperature,(d)
1624,Ink : Pen :: Blood : __?,a. Vein,b. Donation,c. Accident,d. Doctor,(a)
1626,Ship : Captain :: Aeroplane : __?,a. Air-hostess,b. Runway,c. Pilot,d. Airport,(c)
1628,Bat : Ball :: Badminton : ?,a. Ball,b. Table,c. Court,d. Shuttle-cock,(d)
1630,Mass : Kilogram :: Length : __?,a. Volt,b. Kelvin,c. Meter,d. Ampere,(c)
1633,Day : Night :: Positive : __?,a. Negative,b. Sun,c. Moon,d. Number,(a)
1636,CLP : DOR : : JPT : __?,a. KQU,b. IMS,c. LQV,d. KSV,(d)
1638,Bread is related to wheat in the same way as Brick is related to_______,a. Fire,b. Clay,c. Cement,d. Smoke,(b)
1640,Accidents are related to carefulness in the same way as Disease is related to____,a. Treatment,b. Medicine,c. Absence of Sanitation,d. Doctor,(c)
1642,Choose the odd one out from the following,a. Sun,b. Mars,c. Earth,d. Star,(d)
1648,Find the odd term,a. 27,b. 25,c. 16,d. 9,(a)
1650,Find the odd one out,a. Solid,b. Liquid,c. Gas,d. Water,(d)
1652,Choose the odd one out,a. Ear,b. Eye,c. Nose,d. Throat,(d)
1654,"In language, POPULAR is coded as ONOTKZQ which word would be coded as GBNPVT ?",a. FAMOSU,b. FAMOUS,c. FASOUM,d. FOSAUM,BONUS
1656,"In a certain code SIKKIM is written as THLJJL, how is TRAINING written in that code?",a. SQBHOHOH,b. UQBJOHHO,c. UQBHOHOF,d. UQBJOHOH,(c)
1659,"In a certain language CHAMPION is coded as HCMAIPNO, how is POSITIVE coded in that language ?",a. OPISITEV,b. POISITEV,c. OPSIITEV,d. OPISTIVE,(a)
1661,"If air is called ‘blue’, ‘blue’ is called ‘sky’, ‘sky’ is called ‘yellow’, ‘yellow’ is called ‘water’ and ‘water’ is called ‘pink’  Then what is the colour of ‘clear sky’?",a. Blue,b. Yellow,c. Pink,d. Sky,(d)
1663,"Introducing a person to her husband, a woman said: “his brother’s father is the only son of my grandfather”  How is the woman related to this person?",a. Mother,b. Sister,c. Daughter,d. Aunt,(b)
1667,"Six students A, B, C, D, E and F are sitting in the field  A and B are from Gwalior, while the rest are from Bhopal  D and F are tall while others are short  A, C and D are girls while others are boys  Which is the tall girl from Bhopal?",a. C,b. D,c. E,d. F,(b)
1669,Nitin ranks fifteen in a class of 39  What is his rank from the last?,a. 23,b. 24,c. 25,d. 26,(c)
1674,"In the numbers from 100 to 1000, how many times digit 1 comes at the ten’s place?",a. 9,b. 10,c. 90,d. 900,(c)
1676,"If the numbers from 5 to 75, which are exactly divisible by 5 are arranged in descending order, which number would come at the 12th place from the bottom?",a. 45,b. 50,c. 55,d. 60,(d)
1688,A man is facing South-West and then he turns 135o in the anti-clockwise direction and then again he turns 180o clockwise  In which direction is he facing now?,a. West,b. East,c. South,d. North,(a)
1690,"A girl goes 40 meters North, then turns right and walks 20 meters, then again she turns right and walks 20 meters and again she turns right and walks 20 meters  How many meters is she from her original position?",a. 10 m,b. 30 m,c. 20 m,d. 0 m,(c)
1692,"If ‘Q’ means “add to”, ‘K’ means “multiply by’’, ‘S’ means ‘’subtract from’’ and ‘L’ means “divide by’’ then, 2 0 L 2 Q 3 K 7 S 8 = ?",a. 3,b. 23,c. 22,d. 39,(b)
1694,"A father is now 2 times as old as his son  Five years back, he was 3 times as old as his son  The son’s age is",a. 5,b. 10,c. 15,d. 20,(b)
1696,Today is Rakesh’s birthday  Two years from today he will be thrice as old as he was 10 years ago  How old is Rakesh today?,a. 14,b. 15,c. 16,d. 25,(c)
1703,Calendar for 2016 will also serve for the year,a. 2021,b. 2020,c. 2022,d. 2023,BONUS
1705,Number of times the hands of clock are in a straight line in 24 hours is,a. 22,b. 24,c. 42,d. 44,(d)
1707,Find the number which when added to itself 15 times gives 144,a. 7,b. 8,c. 9,d. 10,(c)
1709,"A group of 420 persons consisting of coaches and players are there to participate in an event  For every 20 players, there is a coach  Find the number of coaches in the group",a. 20,b. 19,c. 18,d. 17,(a)
1717,S  I  Unit of magnetic field B is:,a. Newton / Ampere x metre,b. Newton / Ampere,c. Ampere x metre,d. Ampere x Coulomb,(a)
1719,Which of the following is an equation for position  Time relation?,a. v = u +at,b. 2as = v2 – u2,c. E = mc2,d. S = ut + ½ at2,(d)
1721,Value of 1 eV is:,a. 1.602 × 10-15 J,b. 1.602 × 10-19 J,c. 1.602 × 10-16 C,d. 1.602 × 10-23 Ergs,(b)
1723,The least distance of distinct vision for healthy eye is:,a. 25 km,b. 25 m,c. 25 cm,d. 25 mm,(c)
1725,Where does image form in the human eye?,a. Comea,b. Pupil,c. Iris,d. Retina,(d)
1727,An object of mass 15 kg is moving with a uniform velocity of 4MS-1  What is the kinetic energy possessed by the object?,a. 15 kg . m2,b. 120 kg . m2/s2,c. 120 J/s,d. 240 J,(b)
1729,The acronym ‘SONAR’ stands for,a. Sound Navigation and Ranging,b. Solar Navigation and Ranging,c. Sound Navigation and Nuclear Reaction,d. Sound Navigation and Rectification,(a)
1731,Equivalent resistance in a parallel combination of resistances is:,a. R = R1+R2+R3+….,b. 1/R = R1+R2+R3+….,c. 1/R = 1/R1 + 1/R2 + 1/R3+….,d. R = 1/R1 + 1/R2 + 1/R3+….,(c)
1733,Focal length of thin lens is given by:,a. \(\begin{array}{l}\frac{1}{f}=\frac{1}{v}-\frac{1}{u}\end{array} \),b. f = u + v,c. \(\begin{array}{l}f^{2}=\frac{1}{v}-\frac{1}{u}\end{array} \),d. \(\begin{array}{l}\frac{1}{f}=\frac{1}{v}+\frac{1}{u}\end{array} \),(a)
1735,The device / machine to produce electric current is:,a. Generator,b. Motor,c. Galvanometer,d. Ammeter,(a)
1737,Which of the following is used to make Solar panel?,a. Cobalt,b. Silicon,c. Nickel,d. Manganese,(b)
1739,Which of the following is a major constituent of Biogas?,a. Ethane,b. Oxygen,c. Carbon dioxide,d. Methane,(d)
1741,Fatty foods become rancid due to process of,a. Oxidation,b. Corrosion,c. Reduction,d. Hydrogenation,(a)
1743,Which of the following are physical changes?,A. Melting of iron metal,B. Rusting of iron,C. Bending of an iron rod,D. Drawing a wire of iron metal,(c)
1746,The nucleus of an atom contains-,a. Protons,b. Electrons,c. Protons and neutrons,d. Neutrons,(c)
1748,By whom was the neutron discovered?,a. Bohr,b. Chadwick,c. Rutherford,d. Dalton,(b)
1750,A chemical equation is said to be balanced if the number of,a. Compounds are the same on both sides.,b. Molecules are the same on both sides.,c. Number of atoms are the same on both sides.,d. Number of electrons are the same on both sides.,(c)
1753,Name the element which is common to all acids?,a. Sulphur,b. Chlorine,c. Nitrogen,d. Hydrogen,(d)
1756,Dilution is the process of –,a. Mixing acid with water,b. Mixing strong acid with strong base,c. Mixing acid or base with water,d. Mixing strong acid with weak base,(c)
1758,What type of reaction takes place when an acid is dissolved in water?,a. Exothermic,b. Endothermic,c. Substitution,d. Elimination,(a)
1760,The ability of metals to be drawn into thin wire is known as:,a. Ductility,b. Malleability,c. Sonority,d. Conductivity,(a)
1762,Which of the following non-metal is a good conductor of electricity?,a. Graphite,b. Phosphorus,c. Hydrogen,d. Bromine,(a)
1764,Synthesis of Bile Juice takes place in which of the following parts of Body?,a. Gall Bladder,b. Liver,c. Nephron,d. Hypothalamus,(b)
1766,Which is Phytohormone?,a. Auxin,b. Gibberellin,c. Cytokinin,d. All of the above,(d)
1768,pH of which of the following is acidic in nature?,a. Gastric Juice,b. Bile Juice,c. Pancreatic Juice,d. Intestinal Juice,(a)
1770,Which of the following have Naked Seed?,a. Algae,b. Bryophyta,c. Gymnosperm,d. Angiosperm,(c)
1772,Kreb’s cycle found in which part of the cell?,a. Mitochondria,b. Cell membrane,c. Golgi body,d. Nucleus,(a)
1774,Which of the following is not found in Prokaryotes except?,a. Endoplasmic reticulum,b. Mitochondria,c. Ribosome,d. Golgi body,(c)
1776,Which of the following characters are found in mammals?,a. Hair,b. Mammary gland,c. Air-sack,d. Both (A) and (B),(d)
1778,DNA of Eukaryotes have –,a. Fatty acid,b. Cholesterol,c. Histone,d. All of the above,(c)
1780,Which of the following is monocotyledon?,a. Wheat,b. Maize,c. Banana,d. All,(d)
1782,Deficiency of which hormone causes diabetes mellitus?,a. Thyroid,b. Insulin,c. Relaxin,d. Parathormone,(b)
1784,Which of the following is/are the correct statement (s)?,a. Synthesis of urea takes place in the liver.,b. Eukaryotes have mitochondria,c. Virus is prokaryote,d. Both (A) and (B),(d)
1787,Tracheal ring in Human consist of following –,a. Hyaline Cartilage,b. Fibrous Cartilage,c. Bone,d. Muscle,(a)
1789,Human Evolution was supposed to take place in,a. America,b. Asia,c. Africa,d. Australia,(c)
1791,Which is the oldest ‘Veda’?,a. Rigveda,b. Samveda,c. Yajurveda,d. Atharvaveda,(a)
1794,Which dynasty started coins with the Veena emblem?,a. Maurya dynasty,b. Gupta dynasty,c. Vardhan dynasty,d. Rajput dynasty,(b)
1796,“Prayag Prashasti” was written by-,a. Aryabhatt,b. Vishnu Sharma,c. Harishen,d. Kalidas,(c)
1798,Who wrote Padmavat?,a. Kalidas,b. Prithviraj,c. Malik Mohammad Jayasi,b. Dhananand,(c)
1800,Battle of Haldighati was fought in-,a. 1576 AD,b. 1580 AD,c. 1528 AD,d. 1572 AD,(a)
1802,Who was Shivaji’s mother?,a. Jija Bai,b. Kamla Bai,c. Putli Bai,b. Durga Devi,(a)
1804,Which ruler’s reign is called the Golden Age of Mughal Paintings?,a. Babur,b. Jahangir,c. Aurangzeb,d. Shahjahan,(b)
1806,British East India Company was established in-,a. 1600 AD,b. 1540 AD,c. 1650 AD,d. 1700 AD,(a)
1808,Who was the last Mughal king?,a. Shershah,b. Aurangzeb,c. Bahadur Shah Zafar – II,d. None of the above,(c)
1810,Which Governor General started the Subsidiary Alliance?,a. Lord Cornwallis,b. Lord Rippon,c. Lord Wellesley,d. Lord Curzon,(c)
1812,Anand Math was written by-,a. Swami Vivekanand,b. Deenbandhu Mishra,c. Bankimchandra Chatterjee,d. Ravindranath Tagore,(c)
1814,Who established the Khalsa Organisation?,a. Guru Nanak Dev,b. Guru Kripal Singh,c. Guru Govind Singh,d. None of these,(c)
1816,Who was the President of the first session/conference of congress?,a. Dadabhai Naoroji,b. Arvind Ghosh,c. Gopal Krishna Gokhale,d. Vyomesh Chandra Banerjee,(d)
1818,Founder of ‘Satya Shodhak Samaj’ was-,a. Swami Vivekanand,b. Atmaram,c. Jyotiba Phule,d. Mahatma Gandhi,(c)
1820,Unit of measuring noise is-,a. Centimetre,b. Decibel,c. Celsius,d. Millibar,(b)
1823,The standard time of India is calculated from –,a. 72o East Longitude,b. 80o 30′ East Longitude,c. 82o 30′ East Longitude,d. 85o East Longitude,(c)
1825,The Tropic of Cancer does not pass through which State of India?,a. Gujarat,b. Maharashtra,c. Chhattisgarh,d. Madhya Pradesh,(b)
1827,Which among the following rivers is known as Ganga of South India?,a. Narmada river,b. Krishna river,c. Kaveri river,d. Godavari river,(d)
1830,According to the 2011 census which is the most densely populated State?,a. Uttar Pradesh,b. Bihar,c. Kerala,d. West Bengal,(b)
1833,Keoladeo Ghana Bird Sanctuary is located in –,a. Kerala,b. Rajasthan,c. West Bengal,d. Madhya Pradesh,(b)
1837,The longest railway route of the world is,a. Trans Siberian Railway,b. Canadian Pacific Railway,c. Trans Indian Railway,d. All of the above,(a)
1840,Name the area of India where earthquakes often occur (high incidence zones),a. Kutch,b. Aravali mountain,c. Orissa coast,d. Goa,(a)
1843,"In a democracy, Sovereignty resides in the –",a. President,b. Parliament,c. Prime Minister,d. People,(d)
1845,The Chief Election Commissioner of India is appointed by –,a. President,b. Prime Minister,c. Governor,d. Deputy Prime Minister,(a)
1847,According to which article untouchability has been abolished by the Constitution of India?,a. Article – 14,b. Article – 15,c. Article – 16,d. Article – 17,(d)
1849,The term of Lok Sabha is –,a. 3 Years,b. 4 Years,c. 5 Years,d. 6 Years,(c)
1851,Where is the High Court of Madhya Pradesh state situated?,a. Bhopal,b. Indore,c. Jabalpur,d. Gwalior,(c)
1853,"The State having a maximum population of poor, in India is",a. Meghalaya,b. Assam,c. Bihar,d. Madhya Pradesh,(c)
1855,Which of the following scheme provides 100 days of employment?,a. National Rural Employment Guarantee Scheme,b. National Rural Health Mission,c. National Rural Livelihood Mission Scheme,d. Prime Minister Jan Dhan Scheme,(a)
1857,The main function of money is –,a. Medium of exchange,b. Mode of payment,c. Price holding,d. All of the above,(d)
1859,Which bank is known as the Central Bank of India?,a. Reserve Bank of India,b. State Bank of India,c. Foreign Exchange Bank,d. International Bank,(a)
1861,Producers can be arbitrary with respect to the quality and price of goods in,a. Competitive market,b. Monopoly,c. Agricultural product,d. None of the above,(b)
1864,"A right circular cylinder is just enclosing a sphere of radius r, then:",a. Surface area of the sphere is equal to the curved surface area of the cylinder.,b. Surface area of the sphere is equal to the total surface area of the cylinder.,c. Surface area of the sphere is less than the curved surface area of the cylinder.,d. Surface area of the sphere is greater than the curved surface area of the cylinder.,(a)
1866,Zeros of polynomial x2 – 2x are:,a. only 2,"b. 0, 2","c. 2, 2","b. 0, 0",(b)
1868,"The median and mode of 14, 25, 14, 28, 18, 17, 18, 14, 23, 22, 14, 18 are:",a. 18 and 14,b. 17 and 18,c. 18.5 and 14,d. 18 and 18.5,(a)
1870,Largest chord of the circle is:,a. Radius,b. Diameter,c. Both (a) and (b),d. None of the above,(b)
1872,"In Euclid’s division lemma, for a given positive integer a and b, there exist unique integer’s q and r satisfying a = bq + r, here :",a. r ≠ 0,b. 0 ≤ r < b,c. r > b,d. r = q,(b)
1875,"The value of p for which pair of equations 4x + py + 8 = 0, 2x + 2y + 2 = 0, have unique solution is",a. p = 4,b. p = 8,c. p ≠ 4,d. p ≠ 2,(c)
1877,Which of the following is not a quadratic equation?,a. (x – 2)2 + 1 = 2x – 3,b. x(x + 1) + 8 = (x + 2)(x – 2),c. x(2x + 3) = x2 + 1,d. (x + 2)3 = x3 + 4,(b)
1879,How many two digit numbers are there which are divisible by 3?,a. 29,b. 30,c. 33,d. 35,(b)
1882,"The point (7, 3) divides the line segment joining the points (4, -3) and (8, 5) internally in ratio :",a. 2 : 3,b. 7 : 4,c. 3 : 2,d. 3 : 1,(d)
1884,"A vertical pole of length 6 m casts a shadow 4 m long on the ground and at the same time a tower casts a shadow 28 m long, then the height of the tower is :",a. 28 m,b. 48 m,c. 53 m,d. 42 m,(d)
1887,The value of tan 48o tan 23o tan 42o tan 67o is,a. 0,b. \(\begin{array}{l}\frac{\sqrt{3}}{2}\end{array} \),c. 1,d. \(\begin{array}{l}\sqrt{3}\end{array} \),(c)
1889,"An iron rod of diameter 1 cm and length 8 cm is drawn into a wire of length 18 m of uniform thickness, then the radius of the wire will be :",a. 1 / 30 cm,b. 1 / 900 cm,c. ⅓ cm,d. 3 cm,(a)
1891,"Number of terms in A P  23, 21, 19, ……  5 are :",a. 11,b. 10,c. 9,d. 8,(b)
1893,"One card is drawn from a well-shuffled deck of 52 cards, the probability that the card drawn is not an ace",a. 12 / 13,b. 1 / 13,c. 1 / 52,d. 4 / 13,(a)
1896,Which of the following statements is true?,a. Every whole number is a natural number.,b. Every integer is a rational number.,c. Every rational number is an integer.,d. None of these,(b)
1899,Find out the correct term which is different from three others and mark the correct option,a. Anxiety,b. Anger,c. Sorrow,d. Feeling,(d)
1915,Find out the correct alternative for Lungs : Oxygen :: Heart : ?,a. Pump,b. Blood,c. Heart beat,d. Breathing,(b)
1917,Find out the correct alternative for QNKG : KHEA :: YVSO: ?,a. SPMI,b. LIFE,c. CZWT,d. SVYC,(a)
1919,Find out the correct alternative for BGF : 80 :: DHC : ?,a. 90,b. 94,c. 92,d. 96,(c)
1922,Find out the correct alternative for Carpenter : wood :: Cobbler: ?,a. Shoe,b. Sandil,c. Animal,d. Leather,(d)
1924,"Find out the missing term in; 22, 3, 19, 9, 16, 27, 13, 81, 10, ?, ?","a. 7, 243","b. 162, 13","c. 243, 7","d. 342, 4",(c)
1926,"Find out the missing term in; a, u, d, q, ?, ?, j, i, m, e, p, a","a. h, I","b. g, I","c. h, m","d. g, m",(d)
1928,"Find out the missing term in; 392, 365, 342, 323, 308, ?, 290, 287",a. 297,b. 293,c. 289,d. 301,(a)
1930,"Find out the missing term in; UQN, LHE, CYV, _ _ _, KGD",a. QNK,b. WZD,c. TPM,d. KOS,(c)
1932,"Find out the missing term in; 0, 2, 6, 10, 50, 56, ?",a. 392,b. 336,c. 112,d. 64,(a)
1934,"Find out the missing term in; C, E, H, L, Q, ?, D, L",a. U,b. W,c. V,d. X,(b)
1936,"Find out the missing term in; A2B, B3F, C4L, ?",a. DII,b. DST,c. DSU,d. DSO,(b)
1938,"Find out the missing term in; 6, 10, 22, 42, 86, 170, ?",a. 254,b. 212,c. 243,d. 342,(d)
1940,Choose the correct order of signs for; 18 = 5 + 4 ÷ 2 x 28,a. + x ÷ =,b. = + x ÷,c. + = ÷ x,d. x = ÷ +,(a)
1945,Choose the correct order of signs for; 18 ÷ 6 = 3 x 9 + 36,a. + ÷ x =,b. ÷ + = x,c. + x ÷ =,d. x ÷ = +,(a)
1961,Find out the correct sequence and missing symbols in; c _ ba _ cb _cc _ ac _ ba,a. cabac,b. ccabc,c. acabc,d. bcaac,(b)
1964,Find out the correct sequence and missing symbols in; ma _ ma _ mam_ aIm_ mm _ I,a. Imala,b. mlama,c. mlmaa,d. lamam,(c)
1973,If any code language MARCH is written as KCPEF  What will be the code of ORDER in the same code language?,a. MTBGP,b. MPBCP,c. LOABO,d. QPFCT,(a)
1976,If in any code language EIMR is written as CFIM  How will GKOR be written in that code language?,a. FUN,b. EHKM,c. EILN,d. FHLN,(b)
1978,If in any code language FISH is written as IMXN  What will be the code of MALE in the same code language?,a. PDOH,b. QEPJ,c. ODPJ,d. PEQK,(d)
1991,If the first day of any month is monday  What date will be on the fourth Saturday of that month?,a. 26,b. 27,c. 28,d. 29,(b)
1993,"If a child was born on 3rd August 2020 on Monday  After 5 months and five days, what date and day will be?","a. 9 Jan, Saturday","b. 10 Jan, Sunday","c. 7 Jan, Thursday","d. 8 Jan, Wednesday",(a)
1995,"A frog leaps each time for two feet and roll down for half feet  According to this procedure, how many times will it attempt to reach for nine feet?",a. 9,b. 8,c. 7,d. 6,(d)
2005,"A student walks towards the north direction, he turns to his right and turns right again, after that he turns to his left  Now in which direction is he going?",a. East,b. West,c. North,d. South,(a)
2007,"A student walks for 10 meters towards east from any point, turning to her left she walks for 5 meters, she turns to her left again and walks for 10 meters  Now, how far and in which direction is she from the beginning point?",a. 25 meter North,b. 5 meter West,c. 5 meter North,d. 15 meter West,(b)
2009,"If in any code language, sun is called the moon, the moon is called as stars, stars are called the cloud, the cloud is called water and water is called the sun, then by whom will it rain ____",a. Cloud,b. Stars,c. Sun,d. Water,(d)
2011,"Two people are standing facing each other  If one’s face is towards the north, then in which direction will the left hand of the second person?",a. West,b. South,c. East,d. North,(c)
2013,"Ram walks for 4 km towards South, turning to his left he walks for 2 km he turns to his left again and walks for 3 km, then he turns to his right  In which direction is his face now?",a. East,b. West,c. North,d. South,(a)
2021,"A man used a convex lens of focal length of 20 cm in his spects, the power of lens is –",a. +2D,b. -2D,c. +5D,d. -5D,(c)
2023,"In an electric circuit, the voltmeter is used-",a. in series,b. in parallel,c. in both manner,d. None of these,(b)
2025,One horse power (H P) is equal to –,a. 467 watt,b. 500 watt,c. 746 watt,d. 1000 watt,(c)
2028,Which of the following is the Bio/Gobar gas?,a. CH4+CO2,b. CH2+NO2,c. CO+H2,d. CO2+N2,(a)
2030,"In an electric bulb filament 0 5 ampere current is passed for 10 minutes, calculate the electric charge passess through the circuit",a. 5C,b. 20C,c. 300C,d. 500C,(c)
2032,Which of the following mirrors is used by a dentist to examine the patient’s teeth?,a. Convex mirror,b. Plane mirror,c. Concave mirror,d. All of the above,(c)
2034,"An electric bulb has ratings of 30W, 12V  The maximum current pass through it, will –",a. 0.4 amp,b. 2.5 amp,c. 12 amp,d. 360 amp,(b)
2036,What is the unit of magnetic field intensity?,a. Weber,b. Newton/ampere-meter 2,c. Tesla,d. None of these,(c)
2038,The size of colloidal particles are,a. 10-3 – 10-5 metre,b. 10-6 – 10-9 metre,c. 10-10 – 10-15 metre,d. None of the above,(b)
2040,Synthetic fibre Nylon is a –,a. Polyamides,b. Polysaccharide,c. Polyester,d. Polyethene,Answer:(a)
2042,Main component of L P G is,a. Methane + Ethane,b. Ethane + Propane,c. Propane + Butane,d. None of the above,(c)
2044,“Cinnabar” is an ore of which of the following,a. Mg,b. Hg,c. Ag,d. Au,(b)
2046,The general formula of Alkanes is –,a. CnH2n,b. CnH2n + 2,c. CnH2n – 2,d. Cn+2H2n,(b)
2048,What is formed when chlorine gas passes through dry slaked lime-,a. CaCI2,b. CaO,c. CaOCI 2,d. None of the above,(c)
2050,Which of the following is a strong base –,a. NH4OH,b. Ca(OH)2,c. NaHCO3,d. KOH,(d)
2052,NaCl(aq)   + AgNO3(aq)→ AgCI ↓ + NaNO3(aq),a. Reversible reaction,b. Decomposition reaction,c. Addition reaction,d. Double displacement reaction,(d)
2055,Which of the following is not an allotropic form of carbon-,a. Diamond,b. Graphite,c. Fullerene,d. None of these,(d)
2057,A substance which oxidises itself and reduces other is a –,a. An Oxidising Agent,b. A Reducing Agent,c. A Dehydrating Agent,d. A Catalyst,(b)
2059,"Water of crystallization in Gypsum and plaster of paris are respectively,",a. 2,b. 2 and ½,c. 1 and 2,d. ½ and 2,(b)
2061,Which of the following sets does not belong to a group –,"a. Li, Na, K","b. Be, Mg, Ca","c. N, O, F","d. He, Ne, Ar",(c)
2063,A by product of soap industry is –,a. Sodium hydroxide,b. Sodium palmitate,c. Glycerol,d. Fat or Oil,(c)
2065,Corrosion of copper gives rise a green coating on it which is,a. CuO,b. Cu(OH)2,c. CuCO3,d. CuCO3.CUCO3,(d)
2067,"Scientists, who proposed five kingdom classification is:",a. Carolus Linnaeus,b. Whittaker,c. Robert Brown,d. Hugo de Vries,(b)
2069,Menatoblast or stinging cells are found in which phylum of animals,a. Porifera,b. Annelida,c. Cnidaria,d. Arthropoda,(c)
2071,Photosynthesis occurs in which cellular organelles?,a. Mitochondria,b. Ribosome,c. Golgi body,d. Chloroplast,(d)
2073,"In which organ, bile juice formation take place",a. Liver,b. Gallbladder,c. Pancreas,d. Stomach,(a)
2075,"Where, glycolysis occurs in cell",a. In Mitochondria,b. In Chloroplast,c. In Cytoplasm,d. In Nucleus,(c)
2077,"In which animal, open blood vascular system is found?",a. In Earthworm,b. In Periplaneta,c. In Man,d. In Fish,(b)
2079,Which endocrine gland is called master gland?,a. Thyroid,b. Adrenal,c. Thymus,d. Pituitary,(d)
2081,Which plant hormone causes apical dominance?,a. Auxine,b. Gibberellin,c. Cytokinin,d. Ethylene,(a)
2083,Scientist who proposed the theory of natural selection was –,a. Lamark,b. Charles Darwin,c. Waldayer,d. Muller,(b)
2085,Which gas is used in aerobic respiration –,a. Oxygen,b. Carbon dioxide,c. Nitrogen,d. Methane,(a)
2087,Cholera disease caused by which pathogen –,a. Virus,b. Bacteria,c. Fungus,d. Protozoa,(b)
2089,Which group of organisms are heterotrophic,a. Algae,b. Fungi,c. Bryophyta,d. Pteridophyta,(b)
2092,Where is the Sanchi stupa situated?,a. Gaya,b. Lumbini,c. Sarnath,d. Bhopal,(d)
2094,Which religion did Ashoka adopt?,a. Buddhism,b. Hinduism,c. Jainism,d. Shaivism,(a)
2096,Which is the oldest language of South India?,a. Telugu,b. Kannada,c. Tamil,d. Malayalam,(c)
2098,Who among the following had introduced market control policy?,a. Balban,b. Alauddin Khilji,c. Muhammad Bin Tuglaq,d. Jalaluddin Khilji,(b)
2100,Who among the following founded the Vijaya Nagar empire?,a. Vijay Rai,b. Harihar and Bukka,c. Pushyamitra Sunga,d. Rana Sanga,(b)
2102,Which of the following cities was built by Akbar?,a. Daulatabad,b. Fatehpur Sikri,c. Agra,d. Delhi,(b)
